fbs_item_code,equivalence_n_obs,equivalence_ratio,equivalence_share_within_tol,fbs_item,kcal_per_100g,kcal_basis,kcal_n_obs,kcal_q25,kcal_q75,kcal_dispersion_high,kcal_n_nonpositive
2563,404,1.0,0.6732673267326733,Olives (including preserved),42.09666666666667,consumers_above_min_kg,535,39.434673366834176,134.61310606060607,1.0,362
2570,926,1.000693466941399,0.48596112311015116,"Oilcrops, Other",449.2764227642276,consumers_above_min_kg,53,406.2956204379562,451.1209150326797,0.0,933
2601,1522,0.9999899728816297,0.7279894875164258,Tomatoes and products,19.11723844261308,consumers_above_min_kg,1586,13.103403430343947,20.469352808691042,0.0,13
2602,1297,0.9999245565903411,0.7848882035466461,Onions,40.42315188172043,consumers_above_min_kg,1512,39.12395910612036,44.792742775559596,0.0,36
2605,1716,1.0004181910296115,0.743006993006993,"Vegetables, other",24.827868852459016,consumers_above_min_kg,1731,21.45220931166299,27.867004063906144,0.0,0
2611,1060,1.0,0.7122641509433962,"Oranges, Mandarines",31.70572589405525,consumers_above_min_kg,1550,23.537520516334013,34.113505581057424,0.0,3
2612,930,0.998782295789948,0.6086021505376344,"Lemons, Limes and products",30.301886792452827,consumers_above_min_kg,1051,29.903395220904244,32.297181079789766,0.0,134
2613,677,0.9998586722226201,0.55096011816839,Grapefruit and products,22.950757575757574,consumers_above_min_kg,529,22.29707112970711,24.133058984910836,0.0,295
2614,596,1.0025041278241429,0.412751677852349,"Citrus, Other",61.35936469610821,consumers_above_min_kg,252,56.85346185454048,61.51711886304909,0.0,327
2615,1006,0.999928997640284,0.7127236580516899,Bananas,66.59920960855968,consumers_above_min_kg,1474,65.93940725037801,69.81735921134168,0.0,78
2616,438,0.9999391096997057,0.7990867579908676,Plantains,74.3401727861771,consumers_above_min_kg,597,74.3281840027463,74.35185185185185,0.0,391
2617,918,1.0,0.8126361655773421,Apples and products,50.02673147023086,consumers_above_min_kg,1339,35.62396337504427,53.14912280701755,0.0,3
2618,737,0.9999118488039271,0.6635006784260515,Pineapples and products,20.487759213852613,consumers_above_min_kg,1226,13.448340416919653,28.733297974337532,1.0,25
2619,314,0.9998824461269761,0.7261146496815286,Dates,202.87174861076915,consumers_above_min_kg,226,201.30347362519228,205.4555131708759,0.0,405
2620,883,1.0,0.8029445073612684,Grapes and products (excl wine),67.34507042253522,consumers_above_min_kg,1127,65.38744692558737,71.31315258661604,0.0,22
2625,1703,1.000234975835593,0.6946564885496184,"Fruits, other",46.225880551301685,consumers_above_min_kg,1717,41.57826086956522,51.766269841269846,0.0,0
2630,701,0.9987443206484751,0.4893009985734665,Coffee and products,32.718468468468465,consumers_above_min_kg,1135,26.673815789473686,36.5,0.0,50
2633,526,0.9993341319445708,0.4524714828897338,Cocoa Beans and products,665.6017152103559,consumers_above_min_kg,770,433.9156930580763,899.9237946428572,1.0,17
2635,444,0.9583629763033288,0.38063063063063063,Tea (including mate),13.824580915538363,consumers_above_min_kg,416,3.7016952948261816,14.003378898729304,1.0,107
2640,415,0.9176248199161291,0.26987951807228916,Pepper,300.3276699029126,consumers_above_min_kg,23,299.9411816269285,300.57968532442214,0.0,287
2641,533,0.9967051070840197,0.5553470919324578,Pimento,319.5746460746461,consumers_above_min_kg,177,319.3224568138196,319.80952380952385,0.0,353
2642,100,0.9596702876114882,0.46,Cloves,237.25,all_consumers,531,182.5,261.5833333333333,0.0,1085
2645,886,0.9959708583659654,0.43340857787810383,"Spices, Other",274.6872857331224,consumers_above_min_kg,416,241.08788407393806,306.8843107364897,0.0,42
2807,1028,1.0,0.8015564202334631,Rice and products,230.05057619172487,consumers_above_min_kg,1728,217.40204927877016,238.30340847173298,0.0,0
