area_code,first_year,last_year,n_years,expected_years,coverage_pct,sufficient_history
166,2014,2024,11,11,100.0,True
167,2014,2024,11,11,100.0,True
168,2014,2024,11,11,100.0,True
169,2014,2024,11,11,100.0,True
170,2014,2024,11,11,100.0,True
171,2014,2024,11,11,100.0,True
173,2014,2024,11,11,100.0,True
174,2014,2024,11,11,100.0,True
175,2014,2024,11,11,100.0,True
176,2014,2024,11,11,100.0,True
177,2014,2024,11,11,100.0,True
178,2014,2024,11,11,100.0,True
179,2014,2024,11,11,100.0,True
18,2014,2024,11,11,100.0,True
181,2014,2024,11,11,100.0,True
183,2014,2024,11,11,100.0,True
184,2014,2024,11,11,100.0,True
185,2014,2024,11,11,100.0,True
188,2014,2024,11,11,100.0,True
189,2014,2024,11,11,100.0,True
19,2014,2024,11,11,100.0,True
191,2014,2024,11,11,100.0,True
193,2014,2024,11,11,100.0,True
194,2014,2024,11,11,100.0,True
195,2014,2024,11,11,100.0,True
196,2014,2024,11,11,100.0,True
197,2014,2024,11,11,100.0,True
198,2014,2024,11,11,100.0,True
199,2014,2024,11,11,100.0,True
2,2014,2024,11,11,100.0,True
20,2014,2024,11,11,100.0,True
200,2014,2024,11,11,100.0,True
201,2014,2024,11,11,100.0,True
203,2014,2024,11,11,100.0,True
207,2014,2024,11,11,100.0,True
208,2014,2024,11,11,100.0,True
209,2014,2024,11,11,100.0,True
21,2014,2024,11,11,100.0,True
210,2014,2024,11,11,100.0,True
211,2014,2024,11,11,100.0,True
212,2014,2024,11,11,100.0,True
213,2014,2024,11,11,100.0,True
214,2014,2024,11,11,100.0,True
215,2014,2024,11,11,100.0,True
216,2014,2024,11,11,100.0,True
217,2014,2024,11,11,100.0,True
219,2014,2024,11,11,100.0,True
220,2014,2024,11,11,100.0,True
221,2014,2024,11,11,100.0,True
222,2014,2024,11,11,100.0,True
223,2014,2024,11,11,100.0,True
225,2014,2024,11,11,100.0,True
226,2014,2024,11,11,100.0,True
227,2014,2024,11,11,100.0,True
229,2014,2024,11,11,100.0,True
23,2014,2024,11,11,100.0,True
230,2014,2024,11,11,100.0,True
231,2014,2024,11,11,100.0,True
233,2014,2024,11,11,100.0,True
234,2014,2024,11,11,100.0,True
235,2014,2024,11,11,100.0,True
236,2014,2024,11,11,100.0,True
237,2014,2024,11,11,100.0,True
238,2014,2024,11,11,100.0,True
244,2014,2024,11,11,100.0,True
249,2014,2024,11,11,100.0,True
25,2014,2024,11,11,100.0,True
250,2014,2024,11,11,100.0,True
251,2014,2024,11,11,100.0,True
255,2014,2024,11,11,100.0,True
256,2014,2024,11,11,100.0,True
26,2014,2024,11,11,100.0,True
27,2014,2024,11,11,100.0,True
272,2014,2024,11,11,100.0,True
273,2014,2024,11,11,100.0,True
276,2014,2024,11,11,100.0,True
277,2014,2024,11,11,100.0,True
28,2014,2024,11,11,100.0,True
29,2014,2024,11,11,100.0,True
299,2014,2022,9,11,81.8,True
3,2014,2024,11,11,100.0,True
32,2014,2024,11,11,100.0,True
33,2014,2024,11,11,100.0,True
35,2014,2024,11,11,100.0,True
351,2014,2024,11,11,100.0,True
38,2014,2024,11,11,100.0,True
39,2014,2024,11,11,100.0,True
4,2014,2024,11,11,100.0,True
40,2014,2024,11,11,100.0,True
41,2014,2024,11,11,100.0,True
44,2014,2024,11,11,100.0,True
45,2014,2024,11,11,100.0,True
46,2014,2024,11,11,100.0,True
47,2014,2024,11,11,100.0,True
48,2014,2024,11,11,100.0,True
49,2014,2024,11,11,100.0,True
50,2014,2024,11,11,100.0,True
52,2014,2024,11,11,100.0,True
53,2014,2024,11,11,100.0,True
54,2014,2024,11,11,100.0,True
55,2014,2024,11,11,100.0,True
56,2014,2024,11,11,100.0,True
57,2014,2024,11,11,100.0,True
58,2014,2024,11,11,100.0,True
59,2014,2024,11,11,100.0,True
60,2014,2024,11,11,100.0,True
61,2014,2024,11,11,100.0,True
63,2014,2024,11,11,100.0,True
64,2014,2024,11,11,100.0,True
66,2014,2024,11,11,100.0,True
67,2014,2024,11,11,100.0,True
68,2014,2024,11,11,100.0,True
7,2014,2024,11,11,100.0,True
70,2014,2024,11,11,100.0,True
72,2014,2024,11,11,100.0,True
73,2014,2024,11,11,100.0,True
74,2014,2024,11,11,100.0,True
75,2014,2024,11,11,100.0,True
79,2014,2024,11,11,100.0,True
8,2014,2024,11,11,100.0,True
80,2014,2024,11,11,100.0,True
81,2014,2024,11,11,100.0,True
83,2014,2024,11,11,100.0,True
84,2014,2024,11,11,100.0,True
86,2014,2024,11,11,100.0,True
89,2014,2024,11,11,100.0,True
9,2014,2024,11,11,100.0,True
90,2014,2024,11,11,100.0,True
91,2014,2024,11,11,100.0,True
93,2014,2024,11,11,100.0,True
95,2014,2024,11,11,100.0,True
96,2014,2024,11,11,100.0,True
97,2014,2024,11,11,100.0,True
98,2014,2024,11,11,100.0,True
99,2014,2024,11,11,100.0,True
