domain,scope_kind,requested,retrieved
QCL,item,79,True
QCL,item,800,True
QCL,item,809,True
QCL,item,813,True
QCL,item,821,True
QCL,item,826,True
QCL,item,83,True
QCL,item,836,True
QCL,item,839,False
QCL,item,89,True
QCL,item,92,True
QCL,item,94,True
QCL,item,97,True
TM,element,Export quantity|t,True
TM,element,Export value,True
TM,element,Import quantity|t,True
TM,element,Import value,True
TM,item,101,True
TM,item,103,True
TM,item,108,True
TM,item,116,True
TM,item,122,True
TM,item,125,True
TM,item,135,True
TM,item,136,True
TM,item,137,True
TM,item,149,True
TM,item,15,True
TM,item,156,True
TM,item,157,True
TM,item,161,True
TM,item,176,True
TM,item,181,True
TM,item,187,True
TM,item,191,True
TM,item,195,True
TM,item,197,True
TM,item,201,True
TM,item,203,True
TM,item,205,True
TM,item,210,True
TM,item,211,True
TM,item,216,True
TM,item,217,True
TM,item,220,True
TM,item,221,True
TM,item,222,True
TM,item,223,True
TM,item,224,True
TM,item,225,True
TM,item,226,True
TM,item,234,True
TM,item,236,True
TM,item,242,True
TM,item,249,True
TM,item,254,False
TM,item,260,True
TM,item,263,True
TM,item,265,True
TM,item,267,True
TM,item,27,True
TM,item,270,True
TM,item,275,True
TM,item,277,False
TM,item,280,True
TM,item,289,True
TM,item,292,True
TM,item,296,True
TM,item,299,True
TM,item,305,False
TM,item,310,False
TM,item,328,False
TM,item,333,True
TM,item,336,True
TM,item,339,True
TM,item,358,True
TM,item,366,True
TM,item,367,True
TM,item,372,True
TM,item,373,True
TM,item,378,False
TM,item,388,True
TM,item,393,True
TM,item,394,True
TM,item,397,True
TM,item,399,True
TM,item,401,True
TM,item,402,True
TM,item,403,True
TM,item,406,True
TM,item,407,True
TM,item,414,True
TM,item,417,True
TM,item,420,True
TM,item,423,True
TM,item,426,True
TM,item,430,True
TM,item,44,True
TM,item,446,True
TM,item,449,True
TM,item,459,True
TM,item,461,True
TM,item,463,True
TM,item,486,True
TM,item,489,True
TM,item,490,True
TM,item,495,True
TM,item,497,True
TM,item,507,True
TM,item,512,True
TM,item,515,True
TM,item,521,True
TM,item,523,True
TM,item,526,True
TM,item,530,True
TM,item,531,True
TM,item,534,True
TM,item,536,True
TM,item,541,True
TM,item,542,False
TM,item,544,True
TM,item,547,True
TM,item,549,True
TM,item,550,True
TM,item,552,True
TM,item,554,True
TM,item,558,True
TM,item,56,True
TM,item,560,True
TM,item,567,True
TM,item,568,True
TM,item,569,True
TM,item,571,True
TM,item,572,True
TM,item,574,True
TM,item,577,True
TM,item,587,True
TM,item,591,True
TM,item,592,True
TM,item,600,True
TM,item,603,True
TM,item,619,True
TM,item,656,True
TM,item,661,True
TM,item,667,True
TM,item,671,True
TM,item,677,True
TM,item,687,True
TM,item,689,True
TM,item,692,True
TM,item,693,True
TM,item,698,True
TM,item,702,True
TM,item,71,True
TM,item,711,True
TM,item,720,True
TM,item,723,True
TM,item,748,True
TM,item,75,True
TM,item,754,True
TM,item,771,True
TM,item,777,True
TM,item,780,True
TM,item,782,True
TM,item,788,True
TM,item,789,True
TM,item,79,True
TM,item,800,False
TM,item,809,True
TM,item,813,True
TM,item,821,True
TM,item,826,True
TM,item,83,True
TM,item,836,True
TM,item,839,True
TM,item,89,True
TM,item,92,True
TM,item,94,True
TM,item,97,True
FBS,element,Production,True
FBS,element,Import quantity,True
FBS,element,Export quantity,True
FBS,element,Stock Variation,True
FBS,element,Domestic supply quantity,True
FBS,element,Feed,True
FBS,element,Seed,True
FBS,element,Losses,True
FBS,element,Processing,True
FBS,element,Food,True
FBS,element,Food supply quantity (kg/capita/yr),True
FBS,element,Food supply (kcal/capita/day),True
FBS,element,Protein supply quantity (g/capita/day),True
FBS,element,Fat supply quantity (g/capita/day),True
FS,item,21010,True
FS,item,22000,True
FS,item,21013,True
FS,item,21014,True
FS,item,210041,True
FS,item,210011,True
FS,item,210401,True
FS,item,210071,True
FS,item,210091,True
FS,item,210081,True
FS,item,21035,True
FS,item,21031,True
FS,item,21033,True
CAHD,item,70040,True
CAHD,item,70070,True
CAHD,item,70080,True
CAHD,item,70090,True
CAHD,item,70100,True
CAHD,item,70110,True
CAHD,item,7005,True
CAHD,item,7006,True
RFM,element,Export quantity,True
RFM,element,Export value,True
RFM,element,Import quantity,True
RFM,element,Import value,True
RFM,item,3102,True
RFM,item,3103,True
RFM,item,3104,True
RFM,item,4001,True
RFM,item,4002,True
RFM,item,4003,True
RFM,item,4004,True
RFM,item,4005,True
RFM,item,4006,True
RFM,item,4007,True
RFM,item,4008,True
RFM,item,4011,True
RFM,item,4012,True
RFM,item,4013,True
RFM,item,4014,True
RFM,item,4016,True
RFM,item,4017,True
RFM,item,4018,True
RFM,item,4021,True
RFM,item,4022,True
RFM,item,4023,True
RFM,item,4024,True
RFM,item,4025,True
RFM,item,4027,True
RFM,item,4030,True
CP,item,23013,True
CP,item,23014,True
GT,item,1707,True
GT,item,1709,True
GT,item,1711,True
GT,item,5058,True
GT,item,5059,True
GT,item,5060,True
GT,item,5061,True
GT,item,5062,True
GT,item,5063,True
GT,item,5064,True
GT,item,5066,True
GT,item,5084,True
GT,item,5085,True
GT,item,6504,True
GT,item,6505,True
GT,item,6506,True
GT,item,6507,True
GT,item,6508,True
GT,item,6516,True
GT,item,6517,True
GT,item,6518,True
GT,item,6729,True
GT,item,67291,True
GT,item,67292,True
GT,item,6750,True
GT,item,6751,True
GT,item,6795,True
GT,item,6815,True
GT,item,6817,True
GT,item,6818,True
GT,item,6819,True
GT,item,6820,True
GT,item,6821,True
GT,item,6824,True
GT,item,6825,True
GT,item,6829,True
GT,item,6966,False
GT,item,6991,True
GT,item,6992,True
GT,item,69921,True
GT,item,6993,True
GT,item,6994,True
GT,item,6995,True
GT,item,6996,True
GT,item,6997,True
RL,item,6600,True
RL,item,6601,True
RL,item,6602,True
RL,item,6610,True
RL,item,6611,True
RL,item,6616,True
RL,item,6620,True
RL,item,6621,True
RL,item,6630,True
RL,item,6633,True
RL,item,6640,True
RL,item,6641,True
RL,item,6642,True
RL,item,6643,True
RL,item,6644,True
RL,item,6645,True
RL,item,6646,True
RL,item,6649,True
RL,item,6650,True
RL,item,6655,True
RL,item,6656,True
RL,item,6657,True
RL,item,6659,True
RL,item,6664,True
RL,item,6665,True
RL,item,6666,True
RL,item,6668,True
RL,item,6669,True
RL,item,6670,True
RL,item,6671,True
RL,item,6672,True
RL,item,6680,True
RL,item,6681,True
RL,item,6682,True
RL,item,6690,True
RL,item,6694,True
RL,item,6695,True
RL,item,6714,True
RL,item,6716,True
RL,item,6717,True
RL,item,6762,True
RL,item,6767,True
RL,item,6771,True
RL,item,6773,True
RL,item,6774,True
